question,answer
Quy định vận chuyển thú cưng trên máy bay,"Để được biết thông tin chi tiết, hành khách có thể truy cập trang web chính thức của hãng để được cập nhật cụ thể quy định và điều kiện của từng hãng bay:

Vietnam Airlines: cho phép mang chó, mèo lên khoang hành khách và ký gửi. Có điều kiện và các giấy tờ kèm theo.
Quý khách vui lòng tham khảo thêm thông tin chi tiết tại đây

Bamboo Airways: cho phép mang chó, mèo lên khoang hành khách và ký gửi. Có điều kiện và các giấy tờ kèm theo.
Quý khách vui lòng tham khảo thêm thông tin chi tiết tại đây.

Vietjet Air: cho phép mang chó, mèo lên khoang hành khách. Xem chi tiết tại đây.

Pacific Airlines và Vietravel Airlines: không chấp nhận vận chuyển thú cưng trên cả khoang hành khách và ký gửi."
Quy định mang chất lỏng lên máy bay,"Các loại chất lỏng có thể được mang lên khoang hành khách như dầu gội, sữa tắm, nước hoa, sữa rửa mặt, kem đánh răng,... Những chất lỏng này phải được chứa trong lọ nhỏ dưới 100ml và được phép mang theo tối đa 1 lít chất lỏng mỗi hành khách."
Hoàn bảo lưu định danh là gì?,"“Hoàn bảo lưu định danh” (thường gặp ở Vietjet Air) là phương án hoàn tiền dưới dạng tín dụng chuyến bay gắn với đúng tên hành khách thay vì chuyển tiền mặt về thẻ/ngân hàng.

Cách sử dụng bảo lưu định danh:

1. Sau khi yêu cầu, bạn nhận email xác nhận số tiền bảo lưu + thời hạn (thường có thời hạn 365 ngày). 

2. Khi đặt chuyến mới, cung cấp mã bảo lưu/PNR cũ; hệ thống trừ dần vào giá mới.

3. Nếu vé mới rẻ hơn, phần dư vẫn tiếp tục bảo lưu; nếu cao hơn, bạn bù chênh lệch."
"Tôi đã mua trước chỗ ngồi nhưng lịch bay thay đổi do hãng, chỗ ngồi sẽ được sắp xếp như thế nào?","Hãng bay sẽ bố trí chỗ ngồi tương đương như chỗ ngồi quý khách đã chọn. Trường hợp không bố trí được chỗ ngồi tương ứng, hãng sẽ hoàn lại phí mua chỗ ngồi cho quý khách."
Hướng dẫn check-in tại sân bay?,"Quý khách vui lòng gửi mã đặt chỗ được gửi về email khi hoàn tất đặt vé hoặc xem mục ""Vé của tôi"" qua ứng dụng/website của Vexere kèm giấy tờ tùy thân để thực hiện check-in tại sân bay. Quý khách có thể tham khảo thêm thông tin theo từng hãng bay bên dưới:
Vietjet Air
Bamboo Airways
Vietnam Airlines
Vietravel Airlines"
Hướng dẫn check-in online,"Quý khách có thể làm thủ tục trực tuyến từ 24 giờ đến 1 giờ trước giờ khởi hành. Check-in online tùy vào hãng bay sẽ mở một số suất cố định (không mở hoàn toàn check-in online cho chuyến bay) nên trường hợp check-in online sát giờ khởi hành có thể không thao tác được do hết suất và cần phải check-in tại sân bay.

Để check-in online, quý khách vui lòng truy cập vào ứng dụng của Vexere, mục ""Vé của tôi"" và chọn vé cần thao tác sau đó chọn ""Làm thủ tục trực tuyến"" sau đó điền các thông tin cần thiết và hoàn tất thủ tục check-in online. 

Sau khi hoàn tất thủ tục check-in online, quý khách tải vé điện tử vào điện thoại - sử dụng vé này để vào cổng kiểm tra an ninh kèm giấy tờ tùy thân còn hạn sử dụng. Nếu có hành lý ký gửi, quý khách có thể tìm quầy thủ tục ưu tiên cho các hành khách đã thực hiện check-in online trước đó tại một số sân bay để gửi hành lý. Nếu không có quầy ưu tiên thì cần phải thực hiện gửi hành lý ký gửi tại quầy check-in thông thường."
Tại sao không thể check-in online?,"Nếu không làm được thủ tục trực tuyến, quý khách cần kiểm tra lại các thông tin cá nhân và thông tin đặt chỗ. Một số lý do không cho phép làm thủ tục trực tuyến như sau:

Quý khách có yêu cầu các dịch vụ đặc biệt hoặc đi cùng trẻ nhỏ dưới 2 tuổi.

Quý khách chưa thanh toán tiền vé hoặc các dịch vụ đi kèm (đổi chuyến/ thêm hành lý/ chỗ ngồi).
Thông tin quý khách nhập có thể chưa đúng (họ, tên đệm và tên).

Thời gian làm thủ tục của Quý khách nằm ngoài thời gian cho phép làm thủ tục là từ 24 giờ đến 01 giờ trước giờ khởi hành dự kiến.

Chuyến bay có thể hết suất check-in online.

Đối với các trường hợp trên quý khách vui lòng thực hiện check-in tại sân bay."
Cần những giấy tờ gì khi làm thủ tục?,"Đối với hành khách trên 14 tuổi và người lớn cần mang Căn cước công dân (Có thể thay thế bằng bằng lái xe, hộ chiếu, giấy xác nhận nhân thân,... hoặc một số thẻ đặc thù như thẻ đại biểu quốc hội, thẻ đảng viên, thẻ nhà báo,...)

Đối với hành khách dưới 14 tuổi cần đi kèm với người lớn và mang một trong những loại giấy tờ sau:
Giấy khai sinh, bản chính hoặc bản sao có chứng thực còn hạn sử dụng
Giấy chứng sinh: Đối với trường hợp dưới 1 tháng tuổi chưa có giấy khai sinh.
Giấy xác nhận của tổ chức xã hội đối với trẻ em do tổ chức xã hội đang nuôi dưỡng."
Thời gian cần có mặt tại sân bay,"Quý khách vui lòng đến sân bay trước ít nhất 1 tiếng so với giờ khởi hành vào các ngày thường, dịp lễ/Tết cần đến trước ít nhất 2 tiếng. Khi đã check-in online, Vexere khuyến khích vẫn nên đến trước 1 tiếng để tránh bị lỡ chuyến bay trong những trường hợp có phát sinh sự cố."
Xử lý khi hành lý bị thất lạc,Quý khách vui lòng liên hệ ngay với nhân viên tại quầy thất lạc hành lý tại sân bay để được giải quyết nhanh chóng và kịp thời.
"Nếu bị mất giấy tờ tùy thân, tôi có thể dùng giấy tờ gì thay thế?","Quý khách có thể sử dụng các giấy tờ thay thế khác còn hiệu lực như: Chứng minh thư của quân đội, chứng minh thư công an, giấy phép lái xe, thẻ đảng viên, thẻ nhà báo, hộ chiếu, ứng dụng VNEID (định danh mức 2)

Trong trường hợp bị mất cắp hoặc không có các giấy tờ trên, quý khách vui lòng làm giấy xác nhận nhân thân tại công an cấp phường, xã. Quý khách cần chuẩn bị: sổ hộ khẩu bản gốc và một ảnh chân dung 4x6 mới (chụp trong vòng 6 tháng), lưu ý nên làm giấy ít nhất 2 ngày trước ngày khởi hành để cơ quan có thể cấp giấy kịp thời để thực hiện chuyến bay."
Dịch vụ đóng gói hành lý tại sân bay hoạt động đến mấy giờ?,"Dịch vụ đóng gói sẽ mở trước 1 giờ so với bất kỳ giờ khởi hành đang được khai thác nào. Dịch vụ sẽ được cung cấp dựa trên các chuyến bay, quý khách luôn có thể tìm dịch vụ đóng gói để hỗ trợ hành lý ngay tại sân bay."
Tôi có thể nhận lại tiền hoàn trong bao lâu?,"Thời gian hoàn tiền tiêu chuẩn của Vexere từ 01-14 ngày cho mọi giao dịch hoàn tiền, nếu sau 14 ngày quý khách vẫn chưa nhận được tiền vui lòng liên hệ tổng đài 1900 6484 để kiểm tra giao dịch hoàn tiền.

Thời gian hoàn tiền tham khảo cho một số phương thức thanh toán:

Ví điện tử (MoMo, ZaloPay, ShopeePay): 1-7 ngày làm việc
Ngân hàng: 1-7 ngày làm việc
Thẻ: 1-14 ngày làm việc

Trừ một số giao dịch đặc biệt, Vexere sẽ thông tin thời gian hoàn tiền qua email."
"Sau khi hủy vé, tôi sẽ nhận được hoàn tiền bằng hình thức nào?",Quý khách sẽ nhận được tiền hoàn sau khi hủy vé qua phương thức thanh toán ban đầu đã sử dụng để đặt vé.
